time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-02-05T03:02:17.930Z,38.8370018,-122.8386688,2.57,1.67,md,27,60,0.002947,0.03,nc,nc72392051,2015-02-05T07:35:04.632Z,"9km NW of The Geysers, California",earthquake
2015-02-05T02:41:45.600Z,19.0643,-67.8246,29,3.3,Md,13,320.4,1.12738568,0.23,pr,pr15036001,2015-02-05T03:16:49.454Z,"81km NE of Punta Cana, Dominican Republic",earthquake
2015-02-05T02:40:44.500Z,37.5655,-118.862,6.75,0.8,md,23,103,0.03581,0.02,nc,nc72392041,2015-02-05T08:25:03.266Z,"13km SE of Mammoth Lakes, California",earthquake
2015-02-05T02:32:35.877Z,41.867,-119.633,8.1888,1.35,ml,5,222.14,0.149,0.1762,nn,nn00481062,2015-02-05T05:26:27.691Z,"69km ESE of Lakeview, Oregon",earthquake
2015-02-05T02:25:15.370Z,36.0133333,-117.8038333,1.88,1.09,ml,7,163,0.03105,0.08,ci,ci37313000,2015-02-05T02:28:55.923Z,"13km NE of Little Lake, California",earthquake
2015-02-05T02:17:10.300Z,19.096,-67.7938,29,3.4,Md,12,316.8,0.89831528,0.23,pr,pr15036000,2015-02-05T02:46:57.775Z,"85km NE of Punta Cana, Dominican Republic",earthquake
2015-02-05T02:08:42.000Z,61.1223,-146.902,15.5,1.3,ml,,,,0.64,ak,ak11502718,2015-02-05T02:23:45.043Z,"29km W of Valdez, Alaska",earthquake
2015-02-05T02:00:18.020Z,38.8161659,-122.8225021,3.44,0.39,md,8,90,0.008961,0.02,nc,nc72392026,2015-02-05T02:21:06.822Z,"7km NW of The Geysers, California",earthquake
2015-02-05T01:49:47.760Z,38.8294983,-122.8028336,2.35,0.88,md,15,79,0.008314,0.03,nc,nc72392021,2015-02-05T02:12:05.469Z,"6km W of Cobb, California",earthquake
2015-02-05T01:47:29.000Z,33.6018333,-116.5636667,12.23,0.83,ml,32,113,0.02724,0.19,ci,ci37312992,2015-02-05T01:51:30.693Z,"11km ENE of Anza, California",earthquake
2015-02-05T01:46:21.000Z,61.6884,-150.3331,11.8,1.1,ml,,,,0.41,ak,ak11502701,2015-02-05T02:10:57.402Z,"16km WSW of Willow, Alaska",earthquake
2015-02-05T01:45:02.040Z,38.8221667,-122.766,2.68,0.22,md,13,52,0.008838,0.01,nc,nc72392016,2015-02-05T08:25:02.124Z,"3km W of Cobb, California",earthquake
2015-02-05T01:42:03.000Z,65.0044,-147.3343,7.6,1.3,ml,,,,0.89,ak,ak11502699,2015-02-05T01:56:16.704Z,"24km NNE of Badger, Alaska",earthquake
2015-02-05T01:36:01.790Z,36.8606,-97.8437,3.47,3.2,mb_lg,,28,0.015,0.63,us,usc000tltj,2015-02-05T04:00:01.882Z,"11km WNW of Medford, Oklahoma",earthquake
2015-02-05T01:32:54.000Z,62.3802,-151.0897,80.7,1.3,ml,,,,0.11,ak,ak11502696,2015-02-05T01:56:17.879Z,"51km W of Talkeetna, Alaska",earthquake
2015-02-05T01:31:41.030Z,38.8226662,-122.8434982,2.22,0.86,md,11,85,0.01709,0.03,nc,nc72392011,2015-02-05T01:51:08.138Z,"9km NW of The Geysers, California",earthquake
2015-02-05T01:26:25.000Z,62.8986,-150.6239,113.4,1.3,ml,,,,0.63,ak,ak11502679,2015-02-05T01:56:17.296Z,"69km NNW of Talkeetna, Alaska",earthquake
2015-02-05T01:05:38.000Z,59.5809,-152.8863,97.4,2.1,ml,,,,0.4,ak,ak11502673,2015-02-05T01:27:31.431Z,"63km WSW of Anchor Point, Alaska",earthquake
2015-02-05T01:04:23.000Z,63.0768,-151.4225,0.3,1.8,ml,,,,0.69,ak,ak11502671,2015-02-05T01:27:30.844Z,"107km NW of Talkeetna, Alaska",earthquake
2015-02-05T01:01:46.700Z,34.9291667,-118.9896667,6.15,0.96,ml,10,164,0.04211,0.13,ci,ci37312984,2015-02-05T01:35:16.511Z,"6km WSW of Grapevine, California",earthquake
2015-02-05T00:58:58.750Z,35.9638333,-120.5126667,2.95,0.65,md,21,68,0.01373,0.04,nc,nc72392001,2015-02-05T07:27:05.281Z,"23km SW of Coalinga, California",earthquake
2015-02-05T00:46:06.430Z,38.8221664,-122.8431702,2.64,1.08,md,20,83,0.006429,0.04,nc,nc72391986,2015-02-05T01:11:04.084Z,"9km WNW of The Geysers, California",earthquake
2015-02-05T00:34:04.100Z,33.556,-116.6271667,17.02,0.47,ml,18,53,0.01101,0.08,ci,ci37312976,2015-02-05T01:31:56.242Z,"4km E of Anza, California",earthquake
2015-02-05T00:26:58.950Z,33.161,-116.044,1.16,1.08,ml,24,49,0.1284,0.31,ci,ci37312968,2015-02-05T01:21:56.397Z,"8km ENE of Ocotillo Wells, California",earthquake
2015-02-05T00:25:13.490Z,35.9625,-120.5146667,2.74,1.1,md,28,44,0.0145,0.05,nc,nc72391981,2015-02-05T07:10:02.131Z,"24km SW of Coalinga, California",earthquake
2015-02-05T00:18:47.970Z,34.2366667,-117.4768333,12.6,1.68,ml,60,25,0.03517,0.3,ci,ci37312960,2015-02-05T01:22:58.100Z,"3km SE of Lytle Creek, California",earthquake
2015-02-05T00:16:15.580Z,37.5436667,-118.8766667,8.43,0.7,md,19,97,0.05975,0.03,nc,nc72391976,2015-02-05T06:44:05.053Z,"14km SE of Mammoth Lakes, California",earthquake
2015-02-04T23:50:46.470Z,33.9693333,-116.9003333,4.54,0.72,ml,27,62,0.1011,0.21,ci,ci37312952,2015-02-05T01:22:33.258Z,"5km NNW of Banning, California",earthquake
2015-02-04T23:49:26.950Z,34.019,-116.445,0.8,0.95,ml,18,104,0.06789,0.15,ci,ci37312944,2015-02-05T01:29:07.424Z,"8km NE of Desert Hot Springs, California",earthquake
2015-02-04T23:41:06.650Z,34.0195,-116.4425,1.1,1.41,ml,38,53,0.06614,0.26,ci,ci37312936,2015-02-05T01:23:06.072Z,"8km NE of Desert Hot Springs, California",earthquake
2015-02-04T23:40:26.110Z,34.0208333,-116.4406667,1.1,1.27,ml,36,53,0.06413,0.22,ci,ci37312920,2015-02-05T01:24:11.630Z,"9km NE of Desert Hot Springs, California",earthquake
2015-02-04T23:38:52.330Z,37.1195,-121.5328333,3.07,0.91,md,18,95,0.01337,0.05,nc,nc71089579,2015-02-05T08:15:07.505Z,"7km ENE of San Martin, California",earthquake
2015-02-04T23:38:42.000Z,61.6035,-149.8668,47.9,1.1,ml,,,,0.21,ak,ak11502658,2015-02-04T23:57:58.985Z,"3km SW of Houston, Alaska",mining explosion
2015-02-04T23:37:43.780Z,37.4256667,-118.6103333,15.79,1.32,md,23,53,0.0277,0.04,nc,nc72391961,2015-02-05T09:42:02.745Z,"15km WNW of West Bishop, California",earthquake
2015-02-04T23:25:14.000Z,61.6469,-147.6973,12.5,2.4,ml,,,,0.75,ak,ak11502627,2015-02-04T23:43:53.424Z,"63km ESE of Sutton-Alpine, Alaska",earthquake
2015-02-04T23:23:20.410Z,35.4453333,-120.7353333,5.59,0.93,md,14,87,0.05734,0.06,nc,nc72391951,2015-02-05T06:46:03.547Z,"7km SW of Atascadero, California",earthquake
2015-02-04T23:00:58.020Z,34.025,-116.4465,1.1,0.89,ml,21,46,0.0645,0.36,ci,ci37312912,2015-02-05T01:23:41.236Z,"9km NE of Desert Hot Springs, California",earthquake
2015-02-04T22:48:16.750Z,36.5301667,-121.08,9.68,1.18,md,22,66,0.02073,0.04,nc,nc72391941,2015-02-05T09:51:06.047Z,"24km ENE of Soledad, California",earthquake
2015-02-04T22:42:13.000Z,63.5949,-153.1096,38.2,1.6,ml,,,,2.14,ak,ak11502580,2015-02-04T23:02:46.046Z,"143km ENE of McGrath, Alaska",earthquake
2015-02-04T22:39:43.670Z,33.8675,-117.5026667,0.01,0.83,ml,12,99,0.06926,0.09,ci,ci37312904,2015-02-05T01:26:00.287Z,"2km SE of Home Gardens, California",quarry blast
2015-02-04T22:12:17.000Z,19.3785,-155.5487,7,1.1,Md,,82.8,0.03593261,0.09,hv,hv60846321,2015-02-04T22:50:09.622Z,"20km NNW of Pahala, Hawaii",anthropogenic event
2015-02-04T22:05:49.000Z,63.46,-147.7569,97.3,0.9,ml,,,,1.12,ak,ak11502571,2015-02-04T22:22:38.765Z,"60km E of Cantwell, Alaska",explosion
2015-02-04T21:57:11.000Z,65.8879,-149.8999,0,1.2,ml,,,,0.8,ak,ak11502550,2015-02-04T22:08:51.260Z,"104km NNE of Manley Hot Springs, Alaska",acoustic noise
2015-02-04T21:55:19.470Z,38.8278351,-122.8016663,2.48,0.82,md,21,43,0.007924,0.03,nc,nc72391931,2015-02-04T22:58:02.345Z,"6km W of Cobb, California",earthquake
